0.85617	0.0037242	0.85982	0.002088
0.69995	0.023338	0.76417	0.0066718
0.73882	0.017292	0.76686	0.0075272
0.81043	0.0082613	0.82001	0.0047562
0.71838	0.010837	0.76755	0.0036782
0.65738	0.021636	0.73238	0.0063149
0.78729	0.011475	0.8085	0.0063833
0.67912	0.013883	0.74794	0.0056681
0.71941	0.024208	0.76962	0.0071593
0.67428	0.026585	0.73816	0.0091098
0.79779	0.0076573	0.83239	0.0024899
0.78943	0.011117	0.82479	0.0045942
0.74686	0.016917	0.80015	0.0068636
0.75932	0.014288	0.79364	0.0050572
0.68928	0.016761	0.76089	0.0071174
0.7374	0.016872	0.77587	0.0077066
0.6885	0.027448	0.74831	0.0083053
0.74117	0.019029	0.79135	0.0078488
0.69876	0.018471	0.74459	0.0087879
0.65636	0.041565	0.73149	0.015084
0.808	0.01144	0.85178	0.0035805
0.82087	0.012018	0.85521	0.0056332
0.63646	0.036271	0.73591	0.01082
0.7395	0.017386	0.78465	0.0070902
