ITEM: TIMESTEP
10000000
ITEM: NUMBER OF ATOMS
6086
ITEM: BOX BOUNDS pp pp pp
-29.5011 29.5011
-29.5011 29.5011
-29.5011 29.5011
ITEM: ATOMS id mol type x y z 
729 4 3 -2.29422 -9.8572 -8.44815 
2387 15 2 -3.20819 -9.14153 -9.08496 
4040 28 3 -1.40414 -8.75367 -9.82857 
4039 28 3 -1.48414 -8.81752 -9.96352 
4037 28 2 -1.18773 -10.048 -10.4633 
408 2 2 -8.99197 -7.45862 -9.22155 
406 2 3 -9.11082 -6.68913 -8.54213 
409 2 2 -8.66581 -8.27415 -8.79951 
818 4 3 -7.02641 -7.98647 -9.13012 
821 4 2 -7.40936 -7.80359 -9.91897 
819 4 3 -7.58363 -7.32384 -9.2624 
822 4 3 -8.38892 -7.51601 -10.3629 
722 4 3 -5.65149 -6.89133 -9.32155 
723 4 3 -5.78576 -7.95662 -9.59187 
721 4 3 -5.79284 -6.81246 -9.5286 
808 4 3 -4.33488 -7.26233 -9.26003 
4043 28 3 -4.18046 -7.58438 -10.1032 
812 4 2 -2.39631 -7.76669 -10.318 
809 4 3 -3.65419 -7.32581 -10.1669 
810 4 3 -3.31843 -7.47923 -9.73406 
3303 25 2 -2.58686 -7.50561 -8.8834 
4041 28 2 -1.82069 -8.25026 -10.4668 
718 4 2 -8.08096 -6.25654 -10.4707 
719 4 3 -7.50544 -5.69344 -10.4121 
699 4 3 -7.18527 -5.40584 -9.75759 
3985 28 2 -6.40123 -4.79994 -8.46094 
316 2 3 -4.49934 -4.95778 -9.71509 
813 4 3 -2.72519 -6.08408 -10.2072 
315 2 2 -3.92101 -4.47736 -9.48599 
815 4 3 -3.88945 -5.17051 -8.50966 
814 4 2 -3.11221 -5.66585 -10.2696 
318 2 2 -3.35745 -5.34507 -10.387 
314 2 2 -2.7079 -5.52169 -9.38597 
4046 28 3 -2.05906 -5.07877 -9.44477 
3978 28 2 -8.95326 -2.94199 -9.37863 
3979 28 3 -8.26373 -2.45837 -9.23819 
715 4 3 -4.76169 -2.48691 -9.78945 
716 4 2 -5.43937 -4.13571 -10.4231 
1381 7 3 -5.13187 -2.72751 -9.71995 
1802 10 2 -2.36711 -2.56376 -8.48785 
1801 10 2 -3.31533 -2.57817 -9.25014 
1380 7 3 -3.71864 -3.06902 -10.405 
1799 10 3 -1.67059 -3.65712 -10.0548 
1800 10 3 -1.13101 -3.22257 -8.76796 
385 2 2 -8.90237 -0.440801 -8.62617 
381 2 2 -9.56318 -0.00916091 -9.99235 
387 2 3 -7.94983 -1.37112 -8.45714 
1814 10 1 -6.42972 -0.955286 -8.52388 
714 4 2 -5.16939 -2.04445 -9.38084 
1382 7 3 -5.0127 -0.69485 -8.766 
1379 7 2 -5.01468 -0.528185 -10.3776 
1378 7 1 -5.56399 -1.42722 -9.52499 
1388 7 3 -5.44583 -0.199594 -10.4901 
1383 7 3 -4.88736 -0.356326 -9.81545 
